HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF303741	AF371960	AP017456	AY521625	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT781098	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	NC_005946	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N44.HOG0000339	OG0000395	-												HF920637.1_00078 HF920637.1 - hypothetical protein translation		KF938901.1_00157 hypothetical protein																																																										
N44.HOG0000340	OG0000396	-												HF920637.1_00113 HF920637.1 - hypothetical protein translation						LS484712.1_00006 hypothetical protein																																																						
N44.HOG0000341	OG0000397	-																	Lymph_LDV3_KX643370_00002 hypothetical protein												MN803438.1_00144 hypothetical protein																																											
N44.HOG0000342	OG0000398	-																	Lymph_LDV3_KX643370_00003 hypothetical protein												MN803438.1_00143 hypothetical protein																																											
N44.HOG0000343	OG0000399	-																	Lymph_LDV3_KX643370_00006 hypothetical protein												MN803438.1_00139 hypothetical protein																																											
N44.HOG0000344	OG0000400	-																	Lymph_LDV3_KX643370_00007 hypothetical protein												MN803438.1_00018 hypothetical protein																																											
N44.HOG0000345	OG0000401	-																	Lymph_LDV3_KX643370_00008 hypothetical protein												MN803438.1_00019 hypothetical protein																																											
N44.HOG0000346	OG0000402	-																	Lymph_LDV3_KX643370_00010 hypothetical protein												MN803438.1_00020 hypothetical protein																																											
N44.HOG0000347	OG0000403	-																	Lymph_LDV3_KX643370_00011 hypothetical protein												MN803438.1_00014 hypothetical protein																																											
N44.HOG0000348	OG0000404	-																	Lymph_LDV3_KX643370_00013 hypothetical protein												MN803438.1_00036 hypothetical protein																																											
N44.HOG0000349	OG0000405	-																	Lymph_LDV3_KX643370_00016 hypothetical protein												MN803438.1_00038 hypothetical protein																																											
N44.HOG0000350	OG0000406	-																	Lymph_LDV3_KX643370_00018 hypothetical protein												MN803438.1_00015 hypothetical protein																																											
N44.HOG0000351	OG0000407	-																	Lymph_LDV3_KX643370_00022 hypothetical protein												MN803438.1_00042 hypothetical protein																																											
N44.HOG0000352	OG0000408	-																	Lymph_LDV3_KX643370_00023 hypothetical protein												MN803438.1_00043 hypothetical protein																																											
N44.HOG0000353	OG0000409	-																	Lymph_LDV3_KX643370_00026 hypothetical protein												MN803438.1_00040 hypothetical protein																																											
N44.HOG0000354	OG0000410	-																	Lymph_LDV3_KX643370_00027 hypothetical protein												MN803438.1_00041 hypothetical protein																																											
N44.HOG0000355	OG0000411	-																	Lymph_LDV3_KX643370_00029 hypothetical protein												MN803438.1_00080 hypothetical protein																																											
N44.HOG0000356	OG0000412	-																	Lymph_LDV3_KX643370_00030 hypothetical protein												MN803438.1_00079 hypothetical protein																																											
N44.HOG0000357	OG0000413	-																	Lymph_LDV3_KX643370_00031 hypothetical protein												MN803438.1_00083 hypothetical protein																																											
N44.HOG0000358	OG0000414	-																	Lymph_LDV3_KX643370_00032 hypothetical protein												MN803438.1_00085 hypothetical protein																																											
N44.HOG0000359	OG0000415	-																	Lymph_LDV3_KX643370_00034 hypothetical protein												MN803438.1_00031 hypothetical protein																																											
N44.HOG0000360	OG0000416	-																	Lymph_LDV3_KX643370_00036 hypothetical protein												MN803438.1_00032 hypothetical protein																																											
N44.HOG0000361	OG0000417	-																	Lymph_LDV3_KX643370_00038 hypothetical protein												MN803438.1_00033 hypothetical protein																																											
N44.HOG0000362	OG0000418	-																	Lymph_LDV3_KX643370_00039 hypothetical protein												MN803438.1_00034 hypothetical protein																																											
N44.HOG0000363	OG0000419	-																	Lymph_LDV3_KX643370_00050 hypothetical protein												MN803438.1_00016 hypothetical protein																																											
N44.HOG0000364	OG0000420	-																	Lymph_LDV3_KX643370_00053 hypothetical protein												MN803438.1_00025 hypothetical protein																																											
N44.HOG0000365	OG0000421	-																	Lymph_LDV3_KX643370_00058 hypothetical protein												MN803438.1_00069 hypothetical protein																																											
N44.HOG0000366	OG0000422	-																	Lymph_LDV3_KX643370_00063 hypothetical protein												MN803438.1_00073 hypothetical protein																																											
N44.HOG0000367	OG0000423	-																	Lymph_LDV3_KX643370_00065 hypothetical protein												MN803438.1_00067 hypothetical protein																																											
N44.HOG0000368	OG0000424	-																	Lymph_LDV3_KX643370_00066 hypothetical protein												MN803438.1_00065 hypothetical protein																																											
N44.HOG0000369	OG0000425	-																	Lymph_LDV3_KX643370_00067 hypothetical protein												MN803438.1_00064 hypothetical protein																																											
N44.HOG0000370	OG0000426	-																	Lymph_LDV3_KX643370_00068 hypothetical protein												MN803438.1_00063 hypothetical protein																																											
N44.HOG0000371	OG0000427	-																	Lymph_LDV3_KX643370_00069 hypothetical protein												MN803438.1_00062 hypothetical protein																																											
N44.HOG0000372	OG0000428	-																	Lymph_LDV3_KX643370_00072 hypothetical protein												MN803438.1_00060 hypothetical protein																																											
N44.HOG0000373	OG0000429	-																	Lymph_LDV3_KX643370_00073 hypothetical protein												MN803438.1_00059 hypothetical protein																																											
N44.HOG0000374	OG0000430	-																	Lymph_LDV3_KX643370_00078 hypothetical protein												MN803438.1_00088 hypothetical protein																																											
N44.HOG0000375	OG0000431	-																	Lymph_LDV3_KX643370_00081 hypothetical protein												MN803438.1_00091 hypothetical protein																																											
N44.HOG0000376	OG0000432	-																	Lymph_LDV3_KX643370_00082 hypothetical protein												MN803438.1_00090 hypothetical protein																																											
N44.HOG0000377	OG0000433	-																	Lymph_LDV3_KX643370_00083 hypothetical protein												MN803438.1_00093 hypothetical protein																																											
N44.HOG0000378	OG0000434	-																	Lymph_LDV3_KX643370_00086 hypothetical protein												MN803438.1_00086 hypothetical protein																																											
N44.HOG0000379	OG0000435	-																	Lymph_LDV3_KX643370_00088 hypothetical protein												MN803438.1_00076 hypothetical protein																																											
N44.HOG0000380	OG0000436	-																	Lymph_LDV3_KX643370_00092 hypothetical protein												MN803438.1_00047 hypothetical protein																																											
N44.HOG0000381	OG0000437	-																	Lymph_LDV3_KX643370_00093 hypothetical protein												MN803438.1_00048 hypothetical protein																																											
N44.HOG0000382	OG0000438	-																	Lymph_LDV3_KX643370_00097 hypothetical protein												MN803438.1_00057 hypothetical protein																																											
N44.HOG0000383	OG0000439	-																	Lymph_LDV3_KX643370_00099 hypothetical protein												MN803438.1_00095 hypothetical protein																																											
N44.HOG0000384	OG0000440	-																	Lymph_LDV3_KX643370_00101 hypothetical protein												MN803438.1_00098 hypothetical protein																																											
N44.HOG0000385	OG0000441	-																	Lymph_LDV3_KX643370_00104 hypothetical protein												MN803438.1_00102 hypothetical protein																																											
N44.HOG0000386	OG0000442	-																	Lymph_LDV3_KX643370_00112 hypothetical protein												MN803438.1_00132 hypothetical protein																																											
N44.HOG0000387	OG0000443	-																	Lymph_LDV3_KX643370_00113 hypothetical protein												MN803438.1_00131 hypothetical protein																																											
N44.HOG0000388	OG0000444	-																	Lymph_LDV3_KX643370_00116 hypothetical protein												MN803438.1_00129 hypothetical protein																																											
N44.HOG0000389	OG0000445	-																	Lymph_LDV3_KX643370_00118 hypothetical protein												MN803438.1_00127 hypothetical protein																																											
N44.HOG0000390	OG0000446	-																	Lymph_LDV3_KX643370_00122 hypothetical protein												MN803438.1_00114 hypothetical protein																																											
N44.HOG0000391	OG0000447	-																	Lymph_LDV3_KX643370_00123 hypothetical protein												MN803438.1_00116 hypothetical protein																																											
N44.HOG0000392	OG0000448	-																	Lymph_LDV3_KX643370_00124 hypothetical protein												MN803438.1_00119 hypothetical protein																																											
N44.HOG0000393	OG0000449	-																	Lymph_LDV3_KX643370_00127 hypothetical protein												MN803438.1_00118 hypothetical protein																																											
N44.HOG0000394	OG0000450	-																	Lymph_LDV3_KX643370_00129 hypothetical protein												MN803438.1_00123 hypothetical protein																																											
N44.HOG0000395	OG0000451	-																	Lymph_LDV3_KX643370_00134 hypothetical protein												MN803438.1_00111 hypothetical protein																																											
N44.HOG0000396	OG0000452	-																	Lymph_LDV3_KX643370_00141 hypothetical protein												MN803438.1_00134 hypothetical protein																																											
N44.HOG0000397	OG0000453	-																	Lymph_LDV3_KX643370_00147 hypothetical protein												MN803438.1_00141 hypothetical protein																																											
N44.HOG0000398	OG0000454	-																	Lymph_LDV3_KX643370_00150 hypothetical protein												MN803438.1_00002 hypothetical protein																																											
N44.HOG0000399	OG0000455	-																	Lymph_LDV3_KX643370_00152 hypothetical protein												MN803438.1_00001 hypothetical protein																																											
N44.HOG0000400	OG0000456	-																		LS484712.1_00056 hypothetical protein, LS484712.1_00042 hypothetical protein																																																						
N44.HOG0000401	OG0000457	-																		LS484712.1_00099 hypothetical protein, LS484712.1_00100 hypothetical protein																																																						
N44.HOG0000402	OG0000458	-																		LS484712.1_00127 hypothetical protein, LS484712.1_00125 hypothetical protein																																																						
N44.HOG0000403	OG0000459	-																		LS484712.1_00170 hypothetical protein, LS484712.1_00171 hypothetical protein																																																						
N44.HOG0000404	OG0000460	-																		LS484712.1_00213 hypothetical protein, LS484712.1_00214 hypothetical protein																																																						
N44.HOG0000405	OG0000461	-																		LS484712.1_00216 hypothetical protein, LS484712.1_00215 hypothetical protein																																																						
N44.HOG0000406	OG0000462	-																		LS484712.1_00238 hypothetical protein, LS484712.1_00245 hypothetical protein																																																						
N44.HOG0000407	OG0000463	-																		LS484712.1_00277 hypothetical protein, LS484712.1_00279 hypothetical protein																																																						
N44.HOG0000408	OG0000464	-																			MF599468.1_00031 MF599468.1 - hypothetical protein translation, MF599468.1_00094 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000409	OG0000465	-																			MF599468.1_00077 MF599468.1 - hypothetical protein translation, MF599468.1_00078 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000410	OG0000466	-																			MF599468.1_00134 MF599468.1 - hypothetical protein translation, MF599468.1_00144 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000411	OG0000467	-																			MF599468.1_00169 MF599468.1 - hypothetical protein translation, MF599468.1_00143 MF599468.1 - hypothetical protein translation																																																					
N44.HOG0000412	OG0000470	-																												OM037668.1_00115 hypothetical protein																														OM037668.1_00115 hypothetical protein														
N44.HOG0000413	OG0000471	-																																																				NC_005946.1_00025 hypothetical protein, NC_005946.1_00024 hypothetical protein																				
