HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N10.HOG0000010	OG0000010	n0			MK689686.1_00022 hypothetical protein		MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	GQ273492.1_00023 hypothetical protein	MK689686.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	MG570131.1_00024 hypothetical protein	MG570132.1_00024 hypothetical protein	MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein		MK689686.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	OM037668.1_00040 hypothetical protein	AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	OM037668.1_00040 hypothetical protein	MK689686.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein			AF371960.1_00022 hypothetical protein		AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein					AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein		MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	OM037668.1_00040 hypothetical protein	MK689686.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	MK689686.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein		OQ475017.1_00023 OQ475017.1 - hypothetical protein translation	AF371960.1_00022 hypothetical protein			AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	AF371960.1_00022 hypothetical protein	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000011	OG0000011	n0			MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain		MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MG570131.1_00027 Ribonucleoside-diphosphate reductase small chain	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain		MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain			AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain		AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain					AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain		MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain		OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain			AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
N10.HOG0000012	OG0000012	n0			MK689686.1_00028 hypothetical protein		MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	GQ273492.1_00029 hypothetical protein	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein	MG570131.1_00030 hypothetical protein	MG570132.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein		MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	SDDV_ORF038 Flap endonuclease	AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein	SDDV_ORF038 Flap endonuclease	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein			AF371960.1_00030 hypothetical protein		AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein					AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein		MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	SDDV_ORF038 Flap endonuclease	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein	MK689686.1_00028 hypothetical protein	AF371960.1_00030 hypothetical protein		OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	AF371960.1_00030 hypothetical protein			AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein	AF371960.1_00030 hypothetical protein	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000013	OG0000013	n0			MK689686.1_00029 hypothetical protein		MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	GQ273492.1_00030 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MG570131.1_00031 hypothetical protein	MG570132.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein		MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	OM037668.1_00035 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	OM037668.1_00035 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein			AF371960.1_00031 hypothetical protein		AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein					AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein		MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	OM037668.1_00035 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein	MK689686.1_00029 hypothetical protein	AF371960.1_00031 hypothetical protein		OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	AF371960.1_00031 hypothetical protein			AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	AF371960.1_00031 hypothetical protein	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000014	OG0000014	n0			MK689686.1_00030 hypothetical protein		MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	GQ273492.1_00031 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MG570131.1_00032 hypothetical protein	MG570132.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein		MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	OM037668.1_00123 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	OM037668.1_00123 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein			AF371960.1_00032 hypothetical protein		AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein					AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein		MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	OM037668.1_00123 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein	MK689686.1_00030 hypothetical protein	AF371960.1_00032 hypothetical protein		OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	AF371960.1_00032 hypothetical protein			AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	AF371960.1_00032 hypothetical protein	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000015	OG0000015	n0			MK689686.1_00032 hypothetical protein		MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MG570131.1_00034 hypothetical protein	MG570132.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein		MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	OM037668.1_00124 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	OM037668.1_00124 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein			AF371960.1_00034 hypothetical protein		AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein					AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein		MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	OM037668.1_00124 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein	MK689686.1_00032 hypothetical protein	AF371960.1_00034 hypothetical protein		OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	AF371960.1_00034 hypothetical protein			AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	AF371960.1_00034 hypothetical protein	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000016	OG0000016	n0			MK689686.1_00043 hypothetical protein		MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	GQ273492.1_00044 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MG570131.1_00045 hypothetical protein	MG570132.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein		MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	OM037668.1_00113 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	OM037668.1_00113 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein			AF371960.1_00045 hypothetical protein		AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein					AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein		MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	OM037668.1_00113 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein	MK689686.1_00043 hypothetical protein	AF371960.1_00045 hypothetical protein		OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	AF371960.1_00045 hypothetical protein			AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	AF371960.1_00045 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000017	OG0000017	n0			MK689686.1_00046 hypothetical protein		MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	GQ273492.1_00047 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MG570131.1_00048 hypothetical protein	MG570132.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein		MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	OM037668.1_00110 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	OM037668.1_00110 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein			AF371960.1_00048 hypothetical protein		AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein					AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein		MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	OM037668.1_00110 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein	MK689686.1_00046 hypothetical protein	AF371960.1_00048 hypothetical protein		OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	AF371960.1_00048 hypothetical protein			AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	AF371960.1_00048 hypothetical protein	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000018	OG0000018	n0			ORF045_refgen ORF045		ORF045_refgen ORF045	ORF045_ref_gen ORF045	ORF045_ref_gen ORF045	GQ273492.1_00048 hypothetical protein	ORF045_ref_gen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	MG570131.1_00049 hypothetical protein	MG570132.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045		ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	OM037668.1_00106 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	OM037668.1_00106 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045			AF371960.1_00049 hypothetical protein		AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045					AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein		ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	ORF045_refgen ORF045	OM037668.1_00106 hypothetical protein	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein	ORF045_refgen ORF045	ORF045_refgen ORF045	AF371960.1_00049 hypothetical protein		OQ475017.1_00048 OQ475017.1 - hypothetical protein translation	AF371960.1_00049 hypothetical protein			AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	AF371960.1_00049 hypothetical protein	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000019	OG0000019	n0			MK689686.1_00049 hypothetical protein		MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	GQ273492.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MG570131.1_00050 hypothetical protein	MG570132.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein		MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	OM037668.1_00105 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	OM037668.1_00105 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein			AF371960.1_00050 hypothetical protein		AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein					AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein		MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	OM037668.1_00105 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein	MK689686.1_00049 hypothetical protein	AF371960.1_00050 hypothetical protein		OQ475017.1_00049 OQ475017.1 - hypothetical protein translation	AF371960.1_00050 hypothetical protein			AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	AF371960.1_00050 hypothetical protein	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000020	OG0000020	n0			MK689686.1_00054 hypothetical protein		MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	GQ273492.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MG570131.1_00055 hypothetical protein	MG570132.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein		MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	OM037668.1_00100 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	OM037668.1_00100 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein			AF371960.1_00055 hypothetical protein		AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein					AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein		MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	OM037668.1_00100 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein	MK689686.1_00054 hypothetical protein	AF371960.1_00055 hypothetical protein		OQ475017.1_00054 OQ475017.1 - hypothetical protein translation	AF371960.1_00055 hypothetical protein			AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	AF371960.1_00055 hypothetical protein	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000021	OG0000021	n0			MK689686.1_00055 hypothetical protein		MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	GQ273492.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MG570131.1_00056 hypothetical protein	MG570132.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein		MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	OM037668.1_00099 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	OM037668.1_00099 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein			AF371960.1_00056 hypothetical protein		AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein					AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein		MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	OM037668.1_00099 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein	MK689686.1_00055 hypothetical protein	AF371960.1_00056 hypothetical protein		OQ475017.1_00055 OQ475017.1 - hypothetical protein translation	AF371960.1_00056 hypothetical protein			AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	AF371960.1_00056 hypothetical protein	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000022	OG0000022	n0			MK689686.1_00056 hypothetical protein		MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	GQ273492.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein	MG570131.1_00057 hypothetical protein	MG570132.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein		MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	OM037668.1_00098 hypothetical protein	AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein	OM037668.1_00098 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein			AF371960.1_00057 hypothetical protein		AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein					AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein		MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	OM037668.1_00098 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein	MK689686.1_00056 hypothetical protein	AF371960.1_00057 hypothetical protein		OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	AF371960.1_00057 hypothetical protein			AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein	AF371960.1_00057 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
