Genbank Accession,Genetic Information Source,Genus,Species,Virus ('organism name'),Acronym (of organism name),Isolate,Complete or partial genome,Sequence length (bp),Gene,Submitting organisation ,Geogrpahical location sampled,Host,Collection date,Publication DOI,Paper's first author (family name),Paper title,Year paper published ,In vivo or in vitro study,Phylogenetic analysis (yes/no),Platforms and tools (sequencing and other),Notes ,Isolate at ACDP (yes/no),File name,
KC244182,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Rock bream iridovirus ,Not given,RBIV-C1,complete,112333,N/A,"Institute of Oceanology, Chinese Academy of Sciences, China",China,Oplegnathus fasciatus,2/07/2009,https://doi.org/10.1186/1471-2164-15-878,Zhang,In-depth profiling and analysis of host and viral microRNAs in Japanese flounder (Paralichthys olivaceus) infected with megalocytivirus reveal involvement of microRNAs in host-virus interaction in teleost fish,2014,In Vivo - Experimentally infected Japanese Flounder via IP injection and analysed the miRNA changes associated with infection. This was done to look at the host-virus interactions. ,N/o,"Sequence analysis was based on the principles described in Methods, section “Analysis of sequencing reads” of the paper.  It's a long complex desciption.","This paper looked at microRNAs in an infected flounder (infected with a megalocytivirus, the strain which is recorded here). 

MicroRNAs bind to genes and can impact gene expression as part of the host-virus interation. 
The host for example can upregulate microRNAs which bind to sites on the virus genome and visa versa to stop/progress the infection.
 
From Genbank:
Mol Type: DNA
Host: Oplegnathus fasciatus
Geo Location: China
Collection Date: 2009-07-02",No,KC244182.1,
AY989901,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-2004,Partial ,1362,MCP,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,2004,https://doi.org/10.1016/j.mcp.2005.12.002,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Multiple Genbank entries from this isolate. ,,,
AY989902,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-2004,Partial ,1705,ATPase ,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,2004,https://doi.org/10.1016/j.mcp.2005.12.003,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Multiple Genbank entries from this isolate. ,,,
AY989903,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-2004,Partial ,654,RNA polymerase,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,2004,https://doi.org/10.1016/j.mcp.2005.12.004,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Multiple Genbank entries from this isolate. ,,,
AY989900,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-2004,Partial ,290,DNA polymerase,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,2004,https://doi.org/10.1016/j.mcp.2005.12.005,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Multiple Genbank entries from this isolate. ,,,
AY989904 ,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-2004,Partial ,713,IRB6,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,2004,https://doi.org/10.1016/j.mcp.2005.12.006,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Multiple Genbank entries from this isolate. ,,,
AY989905,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-2004,Partial ,129,CY15 ,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,2004,https://doi.org/10.1016/j.mcp.2005.12.007,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Multiple Genbank entries from this isolate. ,,,
AY989906,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-1996,Partial ,259,MCP,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,1996,https://doi.org/10.1016/j.mcp.2005.12.008,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Two Genbank entries from this isolate. ,,,
AY989907,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,DGIV-1996,Partial ,145,ATPase ,"University of Sydney, Faculty of Veterinary Science, Australia",None given,None given,1996,https://doi.org/10.1016/j.mcp.2005.12.009,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Two Genbank entries from this isolate. ,,,
AY936203,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Murray Cod Iridovirus ,MCIV,None given,Partial ,1362,MCP,"University of Sydney, Veterinary Science, Australia",Australia,Maccullochella peelii,None given,https://doi.org/10.1016/j.mcp.2005.12.010,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Two Genbank entries from this isolate. ,,,
AY936204,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Murray Cod Iridovirus ,MCIV,None given,Partial ,1766,ATPase ,"University of Sydney, Veterinary Science, Australia",Australia,Maccullochella peelii,None given,https://doi.org/10.1016/j.mcp.2005.12.011,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Two Genbank entries from this isolate. ,,,
AY936205,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Murray Cod Iridovirus ,MCIV,None given,Partial ,675,RNA Polymerase,"University of Sydney, Veterinary Science, Australia",Australia,Maccullochella peelii,None given,https://doi.org/10.1016/j.mcp.2005.12.012,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Two Genbank entries from this isolate. ,,,
AY936206 ,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Murray Cod Iridovirus ,MCIV,None given,Partial ,706,IRB6,"University of Sydney, Veterinary Science, Australia",Australia,Maccullochella peelii,None given,https://doi.org/10.1016/j.mcp.2005.12.013,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Two Genbank entries from this isolate. ,,,
AY936207,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Murray Cod Iridovirus ,MCIV,None given,Partial ,405,CY15 ,"University of Sydney, Veterinary Science, Australia",Australia,Maccullochella peelii,None given,https://doi.org/10.1016/j.mcp.2005.12.014,Go,The molecular epidemiology of iridovirus in Murray cod (Maccullochella peelii peelii) and dwarf gourami (Colisa lalia) from distant biogeographical regions suggests a link between trade in ornamental fish and emerging iridoviral diseases,2006,,Alignments undertaken against megalocyrivirus genotype sequences and was done with known coding regions of viruses using ENTRANSLATE. Homologies were calculated using HOMOLOGIES with sequence gaps excluded only using regions common to all alignments. Uprooted concencus phylograms based on MCP and ATPase sequences were constructed using neighbour-joining distance method in MEGA 3 with 1000 bootstrap replicates. ,"Sequencing was done using BigBye Terminator v.3.1 chemistry (Applied Biosystems) and were analysed using ABI Prism 3100 capillary genetics analyser. 

Sequence obtained with the reverse primer was reversed
and complemented using REVERSE, and aligned against sequence obtained with the forward primer, using PILEUP. Areas that did not align were discarded and chromatograms were checked manually to resolve errors. Aligned sequences were arranged according to expected order and overlapping regions were identified by eye and joined to create a consensus sequence.",Two Genbank entries from this isolate. ,,,
AY319288,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,None given,Partial ,1913,,"Samutsakhon Coastal Fisheries Research and Development Center, Department of Fisheries, Thailand",Malaysia,Trichogaster lalius,None given,https://doi.org/10.1007/s00705-002-0883-6,Sudthongkong ,"Viral DNA sequences of genes encoding the ATPase and the major capsid protein of tropical iridovirus isolates which are pathogenic to fishes in Japan, South China Sea and Southeast Asian countries",2002,In vitro,"Yes,  sequences and analysed DNA sequences encoding ATPase and MCP of iridovirus isolates from a range of fish species. In order to determine a taxonomical position of tropical iridovirus,  DNA sequences of ATPase and MCP were compared with the known nucleotide sequences of members in Ranavirus, Iridovirus and Lymphocystivirus.

Phylogeneic relationships were deduced using the neighbor joining distance using PAUP version 4.0b10. Analysis was done on deduced amino acid alignments of the ATPase gene-encoding region and the MCP gene-encoding region of the iridovirus isolates and other viruses encompassed in the Family.  ","ThePCRproducts with the 2 primer sets for theATPase gene of DGIV and with 3 primer sets for the MCP gene ofall 5 isolates were EcoRI-HindIII double digested, and ligated with EcoRI-HindIII double digested plasmid vector pUC119. 

The recombinant plasmids were routinely isolated and manipulated. DNA sequencing was carried out using Thermo SequinaseTM cycle sequencing kit and a DNA sequencer, Model 4000L (Li-COR). For each PCR fragments, three to four clones were sequenced to verify replication error","Notes In Genbank: from Malaysia and host was Trichogaster lalius	",No,,
AB109369,GenBank,Megalocytivirus,Megalocytivirus pagrus1,Dwarf gourami iridovirus,DGIV,None given,Partial ,1376,,"Faculty of Bioresources; Kamihama 1515, Tsu, Mie 514-8507, Japan",Malaysia,Trichogaster lalius,None given,https://doi.org/10.1007/s00705-002-0883-6,Sudthongkong,"Viral DNA sequences of genes encoding the ATPase and the major capsid protein of tropical iridovirus isolates which are pathogenic to fishes in Japan, South China Sea and Southeast Asian countries",2002,In vitro,"Yes,  sequences and analysed DNA sequences encoding ATPase and MCP of iridovirus isolates from a range of fish species. In order to determine a taxonomical position of tropical iridovirus,  DNA sequences of ATPase and MCP were compared with the known nucleotide sequences of members in Ranavirus, Iridovirus and Lymphocystivirus.

Phylogeneic relationships were deduced using the neighbor joining distance using PAUP version 4.0b10. Analysis was done on deduced amino acid alignments o ftheATPase gene-encoding region and the MCP gene-encoding region of the iridovirus isolates and other viruses encompassed in the Family.  ","ThePCRproducts with the 2 primer sets for theATPase gene of DGIV and with 3 primer sets for the MCP gene ofall 5 isolates were EcoRI-HindIII double digested, and ligated with EcoRI-HindIII double digested plasmid vector pUC119. 

The recombinant plasmids were routinely isolated and manipulated. DNA sequencing was carried out using Thermo SequinaseTM cycle sequencing kit and a DNA sequencer, Model 4000L (Li-COR). For each PCR fragments, three to four clones were sequenced to verify replication error","Notes In Genbank: from Malaysia and host was Trichogaster lalius	",No,,
